_RAJ2000, _DEJ2000, ObjType, ObjName, RAICRS, DEICRS, plx, e_plx, r_plx, pmRA, e_pmRA, pmDE, e_pmDE, r_pmDE, RV, e_RV, r_RV, SpType, GCode, Gmag, Gest, GBPmag, GRPmag, Umag, Bmag, Vmag, Rmag, Imag, Jmag, Hmag, Ksmag, GaiaDR2, GaiaEDR3, SIMBAD, Common, GJ, HD, HIP
165.83095967600, +35.94865303300, Planet, Lalande 21185 b             , 165.830959676, +35.948653033, 392.7529,   0.0321, FROM:HD95735                   ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
101.28715533300, -16.71611586100, *     , alf CMa A                   , 101.287155333, -16.716115861, 379.2100,   1.5800, 2007A&A...474..653V            ,   -546.010000000,      1.330000000,  -1223.070000000,      1.240000000, 2007A&A...474..653V           ,   -5.5000,    0.4000, 2006AstL...32..759G, A1      , 10,         ,  -1.49,         ,         , -1.510, -1.460, -1.460, -1.460, -1.430, -1.360, -1.330, -1.350,                    ,                    , alf CMa A                 , Sirius A         , GJ 244 A  , HD 48915 A  , HIP 32349
101.28876746877, -16.71686798333, WD    , alf CMa B                   , 101.286625521, -16.720932526, 374.4896,   0.2313, 2020yCat.1350....0G            ,   -461.570505530,      0.277945700,   -914.519620902,      0.331503720, 2020yCat.1350....0G           ,          ,          ,                    , DA1.9   ,  3,  8.52413,       ,  8.12036,  8.39879,       ,  8.410,  8.440,       ,       ,       ,       ,       , 2947050466531873024, 2947050466531873024, alf CMa B                 , Sirius B         , GJ 244 B  , HD 48915 B  , 
024.75573856668, -17.95071874203, LM    , G 272-61 A                  , 024.771554293, -17.948299887, 367.7119,   0.7418, 2020yCat.1350....0G            ,   3385.315810465,      0.672164440,    544.386384562,      0.378753900, 2020yCat.1350....0G           ,   37.8300,    0.2000, 2016A&A...593A.127K, M5      ,  3, 10.50754,       , 12.82064,  9.06769,       ,       ,       ,       ,       ,       ,       ,       , 5140693571158739840, 5140693571158739840, G 272-61A                 , BL Cet           , GJ 65 A   ,             , 
024.75682382590, -17.95027812390, LM    , G 272-61 B                  , 024.771674208, -17.947682860, 373.8443,   0.5009, 2020yCat.1350....0G            ,   3178.694257575,      0.426920180,    584.061335039,      0.302292470, 2020yCat.1350....0G           ,   40.2900,    0.2000, 2016A&A...593A.127K, M6      ,  3, 10.81784,       , 13.25221,  9.42365,       ,       ,       ,       ,       ,       ,       ,       , 5140693571158739712, 5140693571158946048, G 272-61B                 , UV Cet           , GJ 65 B   ,             , 
282.45568240204, -23.83623538264, LM    , Ross 154                    , 282.458789018, -23.837097449, 336.0266,   0.0317, 2020yCat.1350....0G            ,    639.367850336,      0.036838730,   -193.957925071,      0.031829588, 2020yCat.1350....0G           ,  -10.4940,    0.0083, 2018A&A...616A...7S, M3.5e   ,  3,  9.12641,       , 10.73218,  7.89815, 13.528, 12.190, 10.430, 10.230,  7.703,  6.222,  5.655,  5.370, 4075141768785646848, 4075141768785646848, Ross 154                  ,                  , GJ 729    ,             , HIP 92403
355.47931791756, +44.17744969778, LM    , Ross 248                    , 355.480015258, +44.170375701, 316.4812,   0.0444, 2020yCat.1350....0G            ,    112.527464933,      0.036434025,  -1591.649761815,      0.026793785, 2020yCat.1350....0G           ,  -77.7640,    0.0108, 2018A&A...616A...7S, M5      ,  3, 10.37928,       , 12.54643,  9.01701,       , 14.190,       , 11.100,       ,  6.884,  6.247,  5.929, 1926461164913660160, 1926461164913660160, Ross 248                  , HH And           , GJ 905    ,             , 
053.23268537965, -09.45826097023, *     , eps Eri                     , 053.228293415, -09.458168216, 310.5773,   0.1355, 2020yCat.1350....0G            ,   -974.758145250,      0.159722570,     20.875840090,      0.120366044, 2020yCat.1350....0G           ,   16.3760,    0.0019, 2018A&A...616A...7S, K2      ,  3,  3.46575,       ,  3.98245,  2.84215,  5.190,  4.610,  3.730,  3.000,  2.540,  2.230,  1.750,  1.670, 5164707970261630080, 5164707970261890560, eps Eri                   , Ran              , GJ 144    , HD 22049    , HIP 16537
053.22829341500, -09.45816821600, Planet, eps Eri b                   , 053.228293415, -09.458168216, 310.5773,   0.1355, FROM:epsEri                    ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
346.46681577419, -35.85307088451, LM    , GJ 887                      , 346.503916680, -35.847164208, 304.1354,   0.0200, 2020yCat.1350....0G            ,   6765.995136251,      0.020218689,   1330.285274718,      0.016431512, 2020yCat.1350....0G           ,    8.8200,    0.0006, 2018A&A...616A...7S, M2      ,  3,  6.52203,       ,  7.58979,  5.49151,       ,  8.820,  7.340,       ,       ,  4.340,  3.610,  3.460, 6553614253923452800, 6553614253923452800, HD 217987                 , Lacaille 9352    , GJ 887    , HD 217987   , HIP 114046
346.50391668000, -35.84716420800, Planet, GJ 887 b                    , 346.503916680, -35.847164208, 304.1354,   0.0200, FROM:GJ887                     ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
346.50391668000, -35.84716420800, Planet, GJ 887 c                    , 346.503916680, -35.847164208, 304.1354,   0.0200, FROM:GJ887                     ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
176.93498861688, +00.80455565067, LM    , Ross 128                    , 176.937687990, +00.799119970, 296.3053,   0.0302, 2020yCat.1350....0G            ,    607.299076681,      0.034329640,  -1223.028354888,      0.022648253, 2020yCat.1350....0G           ,  -31.0730,    0.0024, 2018A&A...616A...7S, M4      ,  3,  9.60100,       , 11.36103,  8.32777, 14.223, 12.905, 11.153,  9.859,  8.184,  6.505,  5.945,  5.654, 3796072592206250624, 3796072592206250624, Ross 128                  , FI Vir           , GJ 447    ,             , HIP 57548
176.93768799000, +00.79911997000, Planet, Ross 128 b                  , 176.937687990, +00.799119970, 296.3053,   0.0302, FROM:Ross128                   ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
339.64002792132, -15.29984813255, LM    , GJ 866 A                    , 339.650693945, -15.289647052, 293.6000,   0.9000, 2010A&ARv..18...67T            ,   2314.800000000,      8.000000000,   2295.300000000,      8.000000000, 2012yCat.1322....0Z           ,  -60.0000,    2.0000, 1953GCRV..C......0W, M5      ,  3, 10.84000,       , 12.59702,  8.77899, 15.762, 14.330, 12.380, 12.120,  8.677,  6.553,  5.954,  5.537, 2596740426912781696, 2596740426913080576, GJ 866 A                  , EZ Aqr A         , GJ 866 A  ,             , 
339.64002792132, -15.29984813255, LM?   , GJ 866 B                    , 339.650693945, -15.289647052, 293.6000,   0.9000, FROM:GJ866A                    ,   2314.800000000,      8.000000000,   2295.300000000,      8.000000000, FROM:GJ866A                   ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    , GJ 866 B                  , EZ Aqr B         , GJ 866 B  ,             , 
339.64002792132, -15.29984813255, LM?   , GJ 866 C                    , 339.650693945, -15.289647052, 293.6000,   0.9000, FROM:GJ866A                    ,   2314.800000000,      8.000000000,   2295.300000000,      8.000000000, FROM:GJ866A                   ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    , GJ 866 C                  , EZ Aqr C         , GJ 866 C  ,             , 
316.72474828959, +38.74941731894, *     , 61 Cyg A                    , 316.748479294, +38.763862446, 285.9949,   0.0599, 2020yCat.1350....0G            ,   4164.208692285,      0.055289943,   3249.613883849,      0.055022996, 2020yCat.1350....0G           ,  -65.8200,    0.0600, 2018A&A...619A..81H, K5      ,  3,  4.76671,       ,  5.43979,  3.97720,  7.500,  6.390,  5.210,  4.190,  3.540,  3.120,  2.500,  2.680, 1872046574983507456, 1872046609345556480, 61 Cyg A                  ,                  , GJ 820 A  , HD 201091   , 
316.73026601897, +38.74204403324, *     , 61 Cyg B                    , 316.753662753, +38.756072772, 286.0054,   0.0289, 2020yCat.1350....0G            ,   4105.976428209,      0.025807729,   3155.941639827,      0.026797226, 2020yCat.1350....0G           ,  -64.2480,    0.0885, 2018A&A...616A...7S, K7      ,  3,  5.45064,       ,  6.27225,  4.55691,  8.630,  7.400,  6.030,  4.860,  3.550,  3.550,  2.860,  2.320, 1872046574983497216, 1872046574983497216, 61 Cyg B                  ,                  , GJ 820 B  , HD 201092   , HIP 104217
114.82549790800, +05.22498755700, *     , alf CMi A                   , 114.825497908, +05.224987557, 284.5600,   1.2600, 2007A&A...474..653V            ,   -714.590000000,      2.600000000,  -1036.800000000,      1.150000000, 2007A&A...474..653V           ,   -3.2000,    0.9000, 1953GCRV..C......0W, F5      , 10,         ,   1.12,         ,         ,  0.820,  0.790,  0.370, -0.050, -0.280, -0.390, -0.560, -0.650,                    ,                    , alf CMi A                 , Procyon A        , GJ 280 A  , HD 61421    , HIP 37279
114.82450000000, +05.22411110000, WD    , alf CMi B                   , 114.824500000, +05.224111100, 284.5600,   1.2600, FROM:alfCMiA                   ,   -709.000000000,     25.000000000,  -1024.000000000,     25.000000000, 2001AJ....121.2189O           ,          ,          ,                    , DQZ     , 10,         ,  10.72,         ,         ,       , 10.700, 10.920,       ,       ,       ,       ,       ,                    ,                    , alf CMi B                 , Procyon B        , GJ 280 B  ,             , 
280.69460160900, +59.63039151502, LM    , HD 173739                   , 280.683070835, +59.638357908, 283.8401,   0.0220, 2020yCat.1350....0G            ,  -1311.679082552,      0.027100570,   1792.324555830,      0.026312303, 2020yCat.1350....0G           ,   -0.7720,    0.0050, 2018A&A...616A...7S, M3      ,  3,  7.85439,       ,  9.16699,  6.70593,       , 10.782,       ,  8.100,       ,  5.189,  4.741,  4.432, 2154880616773521408, 2154880616774131840, HD 173739                 ,                  , GJ 725 A  , HD 173739   , HIP 91768
280.69539446041, +59.62686698881, LM    , HD 173740                   , 280.683086246, +59.635145455, 283.8378,   0.0287, 2020yCat.1350....0G            ,  -1400.263516757,      0.038540410,   1862.525147749,      0.033203878, 2020yCat.1350....0G           ,    1.1020,    0.0037, 2018A&A...616A...7S, M3.5    ,  3,  8.52470,       ,  9.95969,  7.33422,       , 11.705,       ,  8.900,       ,  5.721,  5.197,  5.000, 2154880616772528384, 2154880616774131712, HD 173740                 ,                  , GJ 725 B  , HD 173740   , HIP 91772
004.59535408364, +44.02295498657, LM    , GJ 15 A                     , 004.613226258, +44.024786744, 280.7068,   0.0203, 2020yCat.1350....0G            ,   2891.518077337,      0.015489398,    411.832020366,      0.013023280, 2020yCat.1350....0G           ,   11.8200,    0.0041, 2018A&A...616A...7S, M1      ,  3,  7.21857,       ,  8.33212,  6.16774,       , 10.120,       ,  7.300,       ,  5.250,  4.476,  4.020,  385334230892516480,  385334230892516480, GJ 15 A                   , GX And           , GJ 15 A   , HD 1326 A   , 
004.61322625800, +44.02478674400, Planet, GJ 15 A b                   , 004.613226258, +44.024786744, 280.7068,   0.0203, FROM:GJ15A                     ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
004.61322625800, +44.02478674400, Planet, GJ 15 A c                   , 004.613226258, +44.024786744, 280.7068,   0.0203, FROM:GJ15A                     ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
004.60760475073, +44.02724789853, LM    , GJ 15 B                     , 004.625300681, +44.028744517, 280.6947,   0.0278, 2020yCat.1350....0G            ,   2862.796426497,      0.022829484,    336.431903719,      0.018969440, 2020yCat.1350....0G           ,   10.9970,    0.0152, 2018A&A...616A...7S, M3.5e   ,  3,  9.68665,       , 11.29152,  8.45549,       , 12.840, 11.040, 10.300,       ,  6.789,  6.191,  5.948,  385334196532776576,  385334196532776576, GJ 15 B                   , GQ And           , GJ 15 B   , HD 1326 B   , 
127.45563663383, +26.77600670632, LM    , G 51-15                     , 127.450092402, +26.773285965, 279.2496,   0.0637, 2020yCat.1350....0G            ,  -1113.693546785,      0.064084570,   -612.191072829,      0.047464374, 2020yCat.1350....0G           ,    9.9360,    0.0480, 2020A&A...636A..36L, M6.5    ,  3, 12.16746,       , 15.10305, 10.70546,       , 16.870,       , 14.736,       ,  8.235,  7.617,  7.260,  703790044252850688,  703790044252850688, G 51-15                   , DX Cnc           , GJ 1111   ,             , 
330.84022344649, -56.78597855419, *     , eps Ind A                   , 330.872407880, -56.797254661, 274.8431,   0.0956, 2020yCat.1350....0G            ,   3966.660538748,      0.085570880,  -2536.191986804,      0.092212770, 2020yCat.1350....0G           ,  -40.0350,    0.0008, 2018A&A...616A...7S, K5      ,  3,  4.32290,       ,  4.90798,  3.61056,       ,  5.750,  4.690,       ,       ,  2.894,  2.349,  2.237, 6412595290592307840, 6412595290592307840, GJ 845 A                  , eps Ind A        , GJ 845 A  , HD 209100   , HIP 108870
330.87240788000, -56.79725466100, Planet, eps Ind A b                 , 330.872407880, -56.797254661, 274.8431,   0.0956, FROM:epsIndA                   ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
331.04414659169, -56.78284419606, BD    , eps Ind B                   , 331.076452597, -56.793812067, 270.6580,   0.6896, 2020yCat.1350....0G            ,   3981.976662961,      0.601656800,  -2466.831814766,      0.625682700, 2020yCat.1350....0G           ,          ,          ,                    , T1      ,  3, 18.05616,       , 21.14207, 16.06011,       ,       , 24.120, 20.800, 15.600, 11.908, 11.306, 11.208,                    , 6412596012146801152, GJ 845 B                  , eps Ind Ba       , GJ 845 B  ,             , 
331.04414659169, -56.78284419606, BD    , eps Ind C                   , 331.076452597, -56.793812067, 270.6580,   0.6896, FROM:epsIndB                   ,   3981.976662961,      0.601656800,  -2466.831814766,      0.625682700, FROM:GJ845B                   ,          ,          ,                    , T6      , 10,         ,  19.33,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    , GJ 845 C                  , eps Ind Bb       , GJ 845 C  ,             , 
026.01701307147, -15.93747989133, *     , tau Cet                     , 026.009055057, -15.933680201, 273.8097,   0.1701, 2020yCat.1350....0G            ,  -1721.727794472,      0.180875870,    854.963157059,      0.088072590, 2020yCat.1350....0G           ,  -16.5970,    0.0007, 2018A&A...616A...7S, G8.5    ,  3,  3.30040,       ,  3.79952,  2.74830,  4.430,  4.220,  3.500,  2.880,  2.410,  2.140,  1.720,  1.680, 2452378776434276992, 2452378776434477184, tau Cet                   ,                  , GJ 71.0   , HD 10700    , HIP 8102
053.99874650305, -44.51270300719, LM    , GJ 1061                     , 054.003393877, -44.514362316, 272.1615,   0.0316, 2020yCat.1350....0G            ,    745.654340004,      0.034927980,   -373.323280914,      0.038019042, 2020yCat.1350....0G           ,   14.4990,    0.0024, 2014MNRAS.439.3094B, M5.5    ,  3, 10.99546,       , 13.28110,  9.61573, 16.220, 14.980, 13.070, 11.450,  9.470,  7.523,  7.015,  6.610, 4848140361962951552, 4848140361962951552, L 372-58                  ,                  , GJ 1061   ,             , 
054.00339387700, -44.51436231600, Planet, GJ 1061 b                   , 054.003393877, -44.514362316, 272.1615,   0.0316, FROM:GJ1061                    ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
054.00339387700, -44.51436231600, Planet, GJ 1061 c                   , 054.003393877, -44.514362316, 272.1615,   0.0316, FROM:GJ1061                    ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
054.00339387700, -44.51436231600, Planet, GJ 1061 d                   , 054.003393877, -44.514362316, 272.1615,   0.0316, FROM:GJ1061                    ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
018.12765367795, -16.99898833606, LM    , YZ Cet                      , 018.133254254, -16.996154872, 269.0573,   0.0337, 2020yCat.1350....0G            ,   1205.074450318,      0.041337120,    637.546633968,      0.051560108, 2020yCat.1350....0G           ,   27.8460,    0.0230, 2020A&A...636A..36L, M4e     ,  3, 10.43652,       , 12.33169,  9.13462, 15.315, 13.885, 12.074, 10.696,  8.938,  7.258,  6.749,  6.420, 2358524597030794112, 2358524597030794112, YZ Cet                    ,                  , GJ 54.1   ,             , HIP 5643
018.13325425400, -16.99615487200, Planet, YZ Cet b                    , 018.133254254, -16.996154872, 269.0573,   0.0337, FROM:YZCet                     ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
018.13325425400, -16.99615487200, Planet, YZ Cet c                    , 018.133254254, -16.996154872, 269.0573,   0.0337, FROM:YZCet                     ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
018.13325425400, -16.99615487200, Planet, YZ Cet d                    , 018.133254254, -16.996154872, 269.0573,   0.0337, FROM:YZCet                     ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
111.85207903607, +05.22578930336, LM    , GJ 273                      , 111.854628443, +05.209382702, 264.1269,   0.0413, 2020yCat.1350....0G            ,    571.232346729,      0.044580720,  -3691.486565379,      0.035590470, 2020yCat.1350....0G           ,   17.8950,    0.0250, 2020A&A...636A..36L, M3.5    ,  3,  8.57639,       , 10.11171,  7.35395, 12.558, 11.443,  9.872,  8.699,  7.161,  5.714,  5.219,  4.857,                    , 3139847906307949696, BD+05 1668                , Luyten's Star    , GJ 273    ,             , HIP 36208
111.85462844300, +05.20938270200, Planet, GJ 273 b                    , 111.854628443, +05.209382702, 264.1269,   0.0413, FROM:GJ273                     ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
111.85462844300, +05.20938270200, Planet, GJ 273 c                    , 111.854628443, +05.209382702, 264.1269,   0.0413, FROM:GJ273                     ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
043.25371580538, +16.88128671951, LM    , Teegarden's Star            , 043.269642477, +16.864373819, 260.9884,   0.0934, 2020yCat.1350....0G            ,   3429.082826808,      0.087942876,  -3805.541122737,      0.083260420, 2020yCat.1350....0G           ,   64.0100,    0.0124, 2014MNRAS.439.3094B, M6      ,  3, 12.26310,       , 15.31863, 10.79013,       , 17.210,       , 14.100,       ,  8.394,  7.883,  7.585,   35227046884571776,   35227046884571776, Teegarden's Star          , Teegarden's Star ,           ,             , 
043.26964247700, +16.86437381900, Planet, Teegarden's Star b          , 043.269642477, +16.864373819, 260.9884,   0.0934, FROM:Teegarden'sStar           ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
043.26964247700, +16.86437381900, Planet, Teegarden's Star c          , 043.269642477, +16.864373819, 260.9884,   0.0934, FROM:Teegarden'sStar           ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
077.91912432911, -45.01843381422, LM    , Kapteyn's Star              , 077.959937350, -45.043812699, 254.1986,   0.0168, 2020yCat.1350....0G            ,   6491.223339062,      0.018412089,  -5708.614150045,      0.020839408, 2020yCat.1350....0G           ,  245.2340,    0.0017, 2018A&A...616A...7S, sdM1    ,  3,  8.06355,       ,  9.08624,  7.05960, 11.624, 10.433,  8.853,  7.900,  6.899,  5.821,  5.316,  5.049, 4810594479417465600, 4810594479418041856, Kapteyn's Star            , Kapteyn's Star   , GJ 191    , HD 33793    , HIP 24186
319.31362111822, -38.86736220370, LM    , AX Mic                      , 319.295018138, -38.872456401, 251.9124,   0.0352, 2020yCat.1350....0G            ,  -3258.966218702,      0.029930007,  -1145.862396912,      0.025867643, 2020yCat.1350....0G           ,   20.5600,    0.1300, 2018yCat.1345....0G, M1      ,  3,  5.98410,       ,  6.89273,  5.03914,       ,  8.090,  6.680,       ,       ,  4.046,  3.256,  3.100, 6583272171335359360, 6583272171336048640, AX Mic                    , Lacaille 8760    , GJ 825    , HD 202560   , HIP 105090
336.99814411084, +57.69502506961, LM    , HD 239960 A                 , 336.992112906, +57.694032053, 249.3926,   0.1653, 2018yCat.1345....0G            ,   -725.227000000,      0.537000000,   -223.461000000,      0.348000000, 2018yCat.1345....0G           ,  -24.0000,    5.0000, 1953GCRV..C......0W, M3      ,  3,  8.66900,       ,  9.94975,  7.31182,       , 11.820, 11.410,       ,       ,       ,       ,       , 2007876324466455424, 2007876324466455040, HD 239960A                , Kruger 60 A      , GJ 860 A  , HD 239960 A , 
336.99915478638, +57.69715051544, LM    , HD 239960 B                 , 336.991386092, +57.694100780, 249.9668,   0.7414, 2018yCat.1345....0G            ,   -934.098000000,      1.319000000,   -686.244000000,      1.410000000, 2018yCat.1345....0G           ,  -28.0000,    5.0000, 1953GCRV..C......0W, M4      ,  3,  9.98000,       , 10.83782,  7.51568,       ,       ,       ,       ,       ,       ,       ,       , 2007876324472098432, 2007876324472098432, HD 239960B                , DO Cep           , GJ 860 B  , HD 239960 B , 
